PRO_6	PRO_22664
PRO_9	PRO_9
PRO_10	PRO_10
PRO_12	PRO_12
PRO_12	PRO_6520
PRO_12	PRO_13962
PRO_13	PRO_13
PRO_14	PRO_14
PRO_14	PRO_18016
PRO_16	PRO_16
PRO_16	PRO_12876
PRO_22	PRO_22
PRO_25	PRO_25
PRO_26	PRO_26
PRO_26	PRO_8226
PRO_28	PRO_28
PRO_29	PRO_29
PRO_29	PRO_2364
PRO_30	PRO_30
PRO_30	PRO_4633
PRO_30	PRO_23683
PRO_32	PRO_32
PRO_32	PRO_8879
PRO_32	PRO_21367
PRO_35	PRO_35
PRO_36	PRO_36
PRO_39	PRO_39
PRO_39	PRO_22530
PRO_39	PRO_20669
PRO_39	PRO_20307
PRO_41	PRO_41
PRO_43	PRO_43
PRO_43	PRO_15050
PRO_43	PRO_16707
PRO_43	PRO_1337
PRO_43	PRO_10705
PRO_44	PRO_44
PRO_44	PRO_11950
PRO_44	PRO_6510
PRO_44	PRO_23291
PRO_45	PRO_45
PRO_45	PRO_2284
PRO_45	PRO_12575
PRO_45	PRO_21288
PRO_45	PRO_328
PRO_45	PRO_8064
PRO_45	PRO_9213
PRO_45	PRO_9733
PRO_45	PRO_17339
PRO_45	PRO_4745
PRO_45	PRO_19481
PRO_45	PRO_12444
PRO_46	PRO_46
PRO_46	PRO_2848
PRO_48	PRO_48
PRO_50	PRO_50
PRO_51	PRO_51
PRO_52	PRO_52
PRO_52	PRO_9604
PRO_58	PRO_58
PRO_61	PRO_61
PRO_61	PRO_12772
PRO_61	PRO_20836
PRO_62	PRO_62
PRO_62	PRO_9841
PRO_62	PRO_11336
PRO_63	PRO_63
PRO_66	PRO_66
PRO_66	PRO_23521
PRO_71	PRO_71
PRO_73	PRO_73
PRO_74	PRO_74
PRO_75	PRO_75
PRO_76	PRO_76
PRO_77	PRO_77
PRO_77	PRO_4686
PRO_77	PRO_6294
PRO_79	PRO_79
PRO_81	PRO_81
PRO_82	PRO_82
PRO_83	PRO_83
PRO_83	PRO_19078
PRO_83	PRO_16836
PRO_85	PRO_85
PRO_89	PRO_89
PRO_89	PRO_12555
PRO_89	PRO_20532
PRO_93	PRO_93
PRO_94	PRO_94
PRO_96	PRO_96
PRO_96	PRO_8314
PRO_99	PRO_99
PRO_100	PRO_100
PRO_100	PRO_12608
PRO_503	PRO_503
PRO_504	PRO_504
PRO_505	PRO_505
PRO_508	PRO_508
PRO_511	PRO_511
PRO_515	PRO_515
PRO_516	PRO_516
PRO_518	PRO_518
PRO_518	PRO_7618
PRO_519	PRO_519
PRO_519	PRO_15398
PRO_519	PRO_2246
PRO_519	PRO_3954
PRO_520	PRO_520
PRO_521	PRO_521
PRO_524	PRO_524
PRO_526	PRO_526
PRO_528	PRO_528
PRO_529	PRO_529
PRO_530	PRO_530
PRO_531	PRO_531
PRO_532	PRO_532
PRO_532	PRO_12782
PRO_534	PRO_534
PRO_534	PRO_8401
PRO_538	PRO_538
PRO_539	PRO_539
PRO_540	PRO_540
PRO_540	PRO_7643
PRO_541	PRO_541
PRO_545	PRO_545
PRO_546	PRO_546
PRO_547	PRO_547
PRO_547	PRO_15913
PRO_548	PRO_548
PRO_550	PRO_550
PRO_550	PRO_23513
PRO_550	PRO_7544
PRO_550	PRO_23468
PRO_553	PRO_553
PRO_553	PRO_2855
PRO_553	PRO_14109
PRO_556	PRO_556
PRO_557	PRO_557
PRO_558	PRO_558
PRO_559	PRO_559
PRO_560	PRO_560
PRO_561	PRO_561
PRO_563	PRO_563
PRO_564	PRO_564
PRO_565	PRO_565
PRO_566	PRO_566
PRO_566	PRO_2722
PRO_566	PRO_12838
PRO_567	PRO_567
PRO_567	PRO_20566
PRO_568	PRO_568
PRO_569	PRO_569
PRO_570	PRO_570
PRO_570	PRO_1613
PRO_570	PRO_8882
PRO_571	PRO_571
PRO_572	PRO_572
PRO_573	PRO_573
PRO_574	PRO_574
PRO_576	PRO_576
PRO_576	PRO_20372
PRO_576	PRO_5750
PRO_576	PRO_22259
PRO_578	PRO_578
PRO_585	PRO_585
PRO_585	PRO_21015
PRO_587	PRO_587
PRO_587	PRO_4490
PRO_589	PRO_589
PRO_590	PRO_590
PRO_590	PRO_10841
PRO_590	PRO_702
PRO_590	PRO_8696
PRO_590	PRO_9307
PRO_591	PRO_591
PRO_593	PRO_593
PRO_594	PRO_594
PRO_595	PRO_595
PRO_597	PRO_597
PRO_597	PRO_21127
PRO_597	PRO_4808
PRO_600	PRO_600
PRO_600	PRO_20670
PRO_2901	PRO_2901
PRO_2903	PRO_2903
PRO_2905	PRO_2905
PRO_2906	PRO_2906
PRO_2907	PRO_2907
PRO_2908	PRO_2908
PRO_2909	PRO_2909
PRO_2909	PRO_16737
PRO_2911	PRO_2911
PRO_2911	PRO_21645
PRO_2912	PRO_2912
PRO_2913	PRO_2913
PRO_2916	PRO_2916
PRO_2917	PRO_2917
PRO_2917	PRO_401
PRO_2920	PRO_2920
PRO_2921	PRO_2921
PRO_2922	PRO_2922
PRO_2923	PRO_2923
PRO_2926	PRO_2926
PRO_2926	PRO_9275
PRO_2926	PRO_22702
PRO_2928	PRO_2928
PRO_2932	PRO_2932
PRO_2935	PRO_2935
PRO_2936	PRO_2936
PRO_2939	PRO_2939
PRO_2939	PRO_1453
PRO_2941	PRO_2941
PRO_2941	PRO_23695
PRO_2943	PRO_2943
PRO_2944	PRO_2944
PRO_2945	PRO_2945
PRO_2945	PRO_710
PRO_2945	PRO_5522
PRO_2945	PRO_4922
PRO_2945	PRO_21952
PRO_2946	PRO_2946
PRO_2947	PRO_2947
PRO_2950	PRO_2950
PRO_2951	PRO_2951
PRO_2953	PRO_2953
PRO_2954	PRO_2954
PRO_2957	PRO_2957
PRO_2959	PRO_2959
PRO_2960	PRO_2960
PRO_2961	PRO_2961
PRO_2962	PRO_2962
PRO_2966	PRO_2966
PRO_2967	PRO_2967
PRO_2968	PRO_2968
PRO_2969	PRO_2969
PRO_2969	PRO_6600
PRO_2970	PRO_2970
PRO_2972	PRO_2972
PRO_2972	PRO_11791
PRO_2972	PRO_9776
PRO_2974	PRO_2974
PRO_2975	PRO_2975
PRO_2977	PRO_2977
PRO_2977	PRO_4658
PRO_2977	PRO_20785
PRO_2978	PRO_2978
PRO_2981	PRO_2981
PRO_2981	PRO_21325
PRO_2982	PRO_2982
PRO_2983	PRO_2983
PRO_2985	PRO_2985
PRO_2993	PRO_2993
PRO_2993	PRO_20174
PRO_2995	PRO_2995
PRO_2999	PRO_2999
PRO_2999	PRO_21501
PRO_2999	PRO_10917
PRO_3000	PRO_3000
PRO_3000	PRO_7428
PRO_4502	PRO_4502
PRO_4505	PRO_4505
PRO_4506	PRO_4506
PRO_4506	PRO_18408
PRO_4508	PRO_4508
PRO_4508	PRO_23353
PRO_4508	PRO_21691
PRO_4509	PRO_4509
PRO_4509	PRO_7046
PRO_4513	PRO_4513
PRO_4518	PRO_4518
PRO_4519	PRO_4519
PRO_4520	PRO_4520
PRO_4520	PRO_11452
PRO_4522	PRO_4522
PRO_4526	PRO_4526
PRO_4530	PRO_4530
PRO_4530	PRO_3456
PRO_4532	PRO_4532
PRO_4537	PRO_4537
PRO_4538	PRO_4538
PRO_4539	PRO_4539
PRO_4540	PRO_4540
PRO_4542	PRO_4542
PRO_4544	PRO_4544
PRO_4545	PRO_4545
PRO_4548	PRO_4548
PRO_4549	PRO_4549
PRO_4552	PRO_4552
PRO_4552	PRO_6306
PRO_4552	PRO_6497
PRO_4553	PRO_4553
PRO_4555	PRO_4555
PRO_4556	PRO_4556
PRO_4558	PRO_4558
PRO_4559	PRO_4559
PRO_4562	PRO_4562
PRO_4563	PRO_4563
PRO_4564	PRO_4564
PRO_4565	PRO_4565
PRO_4566	PRO_4566
PRO_4566	PRO_13833
PRO_4566	PRO_16962
PRO_4566	PRO_18147
PRO_4566	PRO_9974
PRO_4566	PRO_22885
PRO_4567	PRO_4567
PRO_4567	PRO_4262
PRO_4567	PRO_6369
PRO_4567	PRO_9122
PRO_4567	PRO_10719
PRO_4567	PRO_2664
PRO_4567	PRO_15712
PRO_4569	PRO_4569
PRO_4573	PRO_4573
PRO_4573	PRO_3345
PRO_4573	PRO_22592
PRO_4573	PRO_4499
PRO_4576	PRO_4576
PRO_4577	PRO_4577
PRO_4579	PRO_4579
PRO_4579	PRO_17887
PRO_4579	PRO_18463
PRO_4582	PRO_4582
PRO_4585	PRO_4585
PRO_4587	PRO_4587
PRO_4587	PRO_17352
PRO_4587	PRO_18761
PRO_4587	PRO_6988
PRO_4588	PRO_4588
PRO_4590	PRO_4590
PRO_4592	PRO_4592
PRO_4597	PRO_4597
PRO_4599	PRO_4599
PRO_4600	PRO_4600
PRO_5201	PRO_5201
PRO_5203	PRO_5203
PRO_5204	PRO_5204
PRO_5204	PRO_12353
PRO_5204	PRO_647
PRO_5205	PRO_5205
PRO_5205	PRO_4848
PRO_5205	PRO_8273
PRO_5205	PRO_17465
PRO_5205	PRO_16956
PRO_5205	PRO_22340
PRO_5205	PRO_3708
PRO_5205	PRO_23105
PRO_5206	PRO_5206
PRO_5206	PRO_15412
PRO_5206	PRO_19214
PRO_5207	PRO_5207
PRO_5209	PRO_5209
PRO_5210	PRO_5210
PRO_5210	PRO_11854
PRO_5211	PRO_5211
PRO_5212	PRO_5212
PRO_5213	PRO_5213
PRO_5214	PRO_5214
PRO_5217	PRO_5217
PRO_5218	PRO_5218
PRO_5219	PRO_5219
PRO_5219	PRO_15893
PRO_5221	PRO_5221
PRO_5222	PRO_5222
PRO_5223	PRO_5223
PRO_5226	PRO_5226
PRO_5227	PRO_5227
PRO_5228	PRO_5228
PRO_5228	PRO_20829
PRO_5230	PRO_5230
PRO_5232	PRO_5232
PRO_5233	PRO_5233
PRO_5233	PRO_22386
PRO_5233	PRO_10444
PRO_5234	PRO_5234
PRO_5235	PRO_5235
PRO_5235	PRO_11821
PRO_5235	PRO_15337
PRO_5237	PRO_5237
PRO_5239	PRO_5239
PRO_5241	PRO_5241
PRO_5242	PRO_5242
PRO_5244	PRO_5244
PRO_5244	PRO_21354
PRO_5246	PRO_5246
PRO_5246	PRO_15147
PRO_5247	PRO_5247
PRO_5248	PRO_5248
PRO_5251	PRO_5251
PRO_5251	PRO_14991
PRO_5253	PRO_5253
PRO_5254	PRO_5254
PRO_5257	PRO_5257
PRO_5259	PRO_5259
PRO_5263	PRO_5263
PRO_5263	PRO_22948
PRO_5264	PRO_5264
PRO_5266	PRO_5266
PRO_5268	PRO_5268
PRO_5269	PRO_5269
PRO_5272	PRO_5272
PRO_5273	PRO_5273
PRO_5276	PRO_5276
PRO_5278	PRO_5278
PRO_5279	PRO_5279
PRO_5279	PRO_2286
PRO_5279	PRO_985
PRO_5279	PRO_3684
PRO_5279	PRO_17950
PRO_5279	PRO_4076
PRO_5281	PRO_5281
PRO_5282	PRO_5282
PRO_5285	PRO_5285
PRO_5286	PRO_5286
PRO_5287	PRO_5287
PRO_5291	PRO_5291
PRO_5291	PRO_10828
PRO_5291	PRO_16238
PRO_5292	PRO_5292
PRO_5292	PRO_12223
PRO_5292	PRO_22402
PRO_5293	PRO_5293
PRO_5300	PRO_5300
PRO_6401	PRO_6401
PRO_6401	PRO_23609
PRO_6403	PRO_6403
PRO_6404	PRO_6404
PRO_6405	PRO_6405
PRO_6406	PRO_6406
PRO_6407	PRO_6407
PRO_6408	PRO_6408
PRO_6411	PRO_6411
PRO_6411	PRO_18507
PRO_6411	PRO_23679
PRO_6414	PRO_6414
PRO_6417	PRO_6417
PRO_6418	PRO_6418
PRO_6419	PRO_6419
PRO_6420	PRO_6420
PRO_6423	PRO_6423
PRO_6427	PRO_6427
PRO_6428	PRO_6428
PRO_6431	PRO_6431
PRO_6432	PRO_6432
PRO_6433	PRO_6433
PRO_6434	PRO_6434
PRO_6437	PRO_6437
PRO_6438	PRO_6438
PRO_6441	PRO_6441
PRO_6443	PRO_6443
PRO_6447	PRO_6447
PRO_6449	PRO_6449
PRO_6450	PRO_6450
PRO_6450	PRO_8862
PRO_6450	PRO_13994
PRO_6454	PRO_6454
PRO_6455	PRO_6455
PRO_6456	PRO_6456
PRO_6458	PRO_6458
PRO_6459	PRO_6459
PRO_6461	PRO_6461
PRO_6461	PRO_6391
PRO_6467	PRO_6467
PRO_6470	PRO_6470
PRO_6472	PRO_6472
PRO_6472	PRO_11382
PRO_6472	PRO_6222
PRO_6472	PRO_15338
PRO_6472	PRO_16014
PRO_6472	PRO_18436
PRO_6472	PRO_18629
PRO_6472	PRO_20676
PRO_6472	PRO_21383
PRO_6472	PRO_21856
PRO_6472	PRO_23727
PRO_6473	PRO_6473
PRO_6474	PRO_6474
PRO_6474	PRO_12130
PRO_6474	PRO_12983
PRO_6474	PRO_17982
PRO_6476	PRO_6476
PRO_6476	PRO_4045
PRO_6476	PRO_17090
PRO_6477	PRO_6477
PRO_6480	PRO_6480
PRO_6481	PRO_6481
PRO_6481	PRO_20822
PRO_6481	PRO_19958
PRO_6482	PRO_6482
PRO_6485	PRO_6485
PRO_6486	PRO_6486
PRO_6486	PRO_7285
PRO_6488	PRO_6488
PRO_6489	PRO_6489
PRO_6489	PRO_11489
PRO_6491	PRO_6491
PRO_6492	PRO_6492
PRO_6495	PRO_6495
PRO_6496	PRO_6496
PRO_6500	PRO_6500
PRO_7101	PRO_7101
PRO_7101	PRO_23804
PRO_7103	PRO_7103
PRO_7104	PRO_7104
PRO_7105	PRO_7105
PRO_7105	PRO_9763
PRO_7105	PRO_15125
PRO_7106	PRO_7106
PRO_7110	PRO_7110
PRO_7111	PRO_7111
PRO_7112	PRO_7112
PRO_7114	PRO_7114
PRO_7122	PRO_7122
PRO_7122	PRO_13473
PRO_7122	PRO_17999
PRO_7123	PRO_7123
PRO_7124	PRO_7124
PRO_7124	PRO_3194
PRO_7127	PRO_7127
PRO_7129	PRO_7129
PRO_7132	PRO_7132
PRO_7136	PRO_7136
PRO_7136	PRO_6955
PRO_7139	PRO_7139
PRO_7140	PRO_7140
PRO_7141	PRO_7141
PRO_7141	PRO_13572
PRO_7142	PRO_7142
PRO_7143	PRO_7143
PRO_7145	PRO_7145
PRO_7149	PRO_7149
PRO_7150	PRO_7150
PRO_7152	PRO_7152
PRO_7154	PRO_7154
PRO_7155	PRO_7155
PRO_7156	PRO_7156
PRO_7156	PRO_22397
PRO_7157	PRO_7157
PRO_7157	PRO_4570
PRO_7157	PRO_20957
PRO_7157	PRO_11176
PRO_7160	PRO_7160
PRO_7160	PRO_14378
PRO_7160	PRO_2317
PRO_7160	PRO_9005
PRO_7161	PRO_7161
PRO_7161	PRO_18440
PRO_7162	PRO_7162
PRO_7163	PRO_7163
PRO_7164	PRO_7164
PRO_7165	PRO_7165
PRO_7165	PRO_13182
PRO_7165	PRO_16497
PRO_7165	PRO_5192
PRO_7165	PRO_16214
PRO_7165	PRO_11199
PRO_7165	PRO_22522
PRO_7166	PRO_7166
PRO_7166	PRO_23565
PRO_7166	PRO_23670
PRO_7166	PRO_23807
PRO_7166	PRO_23913
PRO_7166	PRO_8118
PRO_7166	PRO_11025
PRO_7166	PRO_23448
PRO_7166	PRO_23551
PRO_7166	PRO_23760
PRO_7166	PRO_23853
PRO_7166	PRO_23921
PRO_7166	PRO_23980
PRO_7166	PRO_12666
PRO_7166	PRO_23442
PRO_7166	PRO_23896
PRO_7166	PRO_23502
PRO_7166	PRO_19603
PRO_7168	PRO_7168
PRO_7169	PRO_7169
PRO_7169	PRO_2643
PRO_7170	PRO_7170
PRO_7170	PRO_8607
PRO_7170	PRO_13519
PRO_7170	PRO_8854
PRO_7170	PRO_9654
PRO_7170	PRO_16988
PRO_7170	PRO_17284
PRO_7170	PRO_21092
PRO_7170	PRO_14795
PRO_7173	PRO_7173
PRO_7174	PRO_7174
PRO_7175	PRO_7175
PRO_7175	PRO_19209
PRO_7175	PRO_23552
PRO_7175	PRO_6466
PRO_7175	PRO_17259
PRO_7175	PRO_8205
PRO_7175	PRO_23702
PRO_7176	PRO_7176
PRO_7177	PRO_7177
PRO_7177	PRO_20254
PRO_7177	PRO_22376
PRO_7179	PRO_7179
PRO_7180	PRO_7180
PRO_7181	PRO_7181
PRO_7181	PRO_7247
PRO_7182	PRO_7182
PRO_7184	PRO_7184
PRO_7184	PRO_12139
PRO_7187	PRO_7187
PRO_7187	PRO_19036
PRO_7191	PRO_7191
PRO_7191	PRO_17532
PRO_7191	PRO_1018
PRO_7192	PRO_7192
PRO_7192	PRO_11326
PRO_7192	PRO_13706
PRO_7194	PRO_7194
PRO_7195	PRO_7195
PRO_7195	PRO_2148
PRO_7195	PRO_4484
PRO_7195	PRO_18092
PRO_7195	PRO_4608
PRO_7195	PRO_23596
PRO_7195	PRO_12269
PRO_7196	PRO_7196
PRO_7197	PRO_7197
PRO_7198	PRO_7198
PRO_8504	PRO_8504
PRO_8505	PRO_8505
PRO_8508	PRO_8508
PRO_8509	PRO_8509
PRO_8510	PRO_8510
PRO_8510	PRO_21050
PRO_8510	PRO_9894
PRO_8511	PRO_8511
PRO_8515	PRO_8515
PRO_8518	PRO_8518
PRO_8519	PRO_8519
PRO_8520	PRO_8520
PRO_8522	PRO_8522
PRO_8524	PRO_8524
PRO_8530	PRO_8530
PRO_8530	PRO_6255
PRO_8532	PRO_8532
PRO_8532	PRO_6138
PRO_8534	PRO_8534
PRO_8536	PRO_8536
PRO_8537	PRO_8537
PRO_8537	PRO_4619
PRO_8537	PRO_16558
PRO_8537	PRO_20533
PRO_8537	PRO_20577
PRO_8537	PRO_21290
PRO_8537	PRO_7969
PRO_8538	PRO_8538
PRO_8539	PRO_8539
PRO_8540	PRO_8540
PRO_8540	PRO_16290
PRO_8540	PRO_1750
PRO_8541	PRO_8541
PRO_8541	PRO_11761
PRO_8542	PRO_8542
PRO_8543	PRO_8543
PRO_8544	PRO_8544
PRO_8545	PRO_8545
PRO_8546	PRO_8546
PRO_8546	PRO_16457
PRO_8546	PRO_17551
PRO_8548	PRO_8548
PRO_8549	PRO_8549
PRO_8550	PRO_8550
PRO_8550	PRO_5590
PRO_8552	PRO_8552
PRO_8553	PRO_8553
PRO_8555	PRO_8555
PRO_8555	PRO_22998
PRO_8556	PRO_8556
PRO_8559	PRO_8559
PRO_8561	PRO_8561
PRO_8562	PRO_8562
PRO_8562	PRO_3132
PRO_8563	PRO_8563
PRO_8563	PRO_13977
PRO_8566	PRO_8566
PRO_8567	PRO_8567
PRO_8567	PRO_14064
PRO_8568	PRO_8568
PRO_8572	PRO_8572
PRO_8575	PRO_8575
PRO_8578	PRO_8578
PRO_8579	PRO_8579
PRO_8579	PRO_6094
PRO_8579	PRO_10744
PRO_8580	PRO_8580
PRO_8580	PRO_23136
PRO_8582	PRO_8582
PRO_8582	PRO_13026
PRO_8586	PRO_8586
PRO_8586	PRO_22852
PRO_8586	PRO_3094
PRO_8586	PRO_7796
PRO_8586	PRO_14414
PRO_8586	PRO_4999
PRO_8586	PRO_9097
PRO_8586	PRO_9844
PRO_8586	PRO_16034
PRO_8586	PRO_2188
PRO_8588	PRO_8588
PRO_8588	PRO_6711
PRO_8589	PRO_8589
PRO_8591	PRO_8591
PRO_8593	PRO_8593
PRO_8593	PRO_171
PRO_8593	PRO_14862
PRO_8593	PRO_22836
PRO_8595	PRO_8595
PRO_8596	PRO_8596
PRO_8597	PRO_8597
PRO_8597	PRO_14443
PRO_8597	PRO_2470
PRO_8597	PRO_18782
PRO_8597	PRO_9670
PRO_8597	PRO_4267
PRO_8597	PRO_8600
PRO_8597	PRO_2262
PRO_8597	PRO_5692
PRO_8597	PRO_6457
PRO_8597	PRO_13596
PRO_8597	PRO_10540
PRO_8597	PRO_10936
PRO_8598	PRO_8598
PRO_8599	PRO_8599
PRO_8599	PRO_17086
PRO_12104	PRO_12104
PRO_12104	PRO_4413
PRO_12104	PRO_12186
PRO_12104	PRO_19963
PRO_12104	PRO_3336
PRO_12104	PRO_5707
PRO_12104	PRO_13551
PRO_12106	PRO_12106
PRO_12106	PRO_2753
PRO_12108	PRO_12108
PRO_12110	PRO_12110
PRO_12110	PRO_12862
PRO_12110	PRO_2942
PRO_12112	PRO_12112
PRO_12113	PRO_12113
PRO_12113	PRO_14354
PRO_12115	PRO_12115
PRO_12115	PRO_3025
PRO_12116	PRO_12116
PRO_12118	PRO_12118
PRO_12118	PRO_14339
PRO_12119	PRO_12119
PRO_12120	PRO_12120
PRO_12122	PRO_12122
PRO_12122	PRO_5109
PRO_12123	PRO_12123
PRO_12123	PRO_3160
PRO_12123	PRO_3224
PRO_12123	PRO_3247
PRO_12123	PRO_3385
PRO_12123	PRO_5661
PRO_12123	PRO_5944
PRO_12123	PRO_9208
PRO_12123	PRO_11437
PRO_12123	PRO_14217
PRO_12123	PRO_14530
PRO_12123	PRO_16301
PRO_12123	PRO_16714
PRO_12123	PRO_16904
PRO_12123	PRO_18208
PRO_12123	PRO_19759
PRO_12123	PRO_21045
PRO_12123	PRO_21307
PRO_12123	PRO_22388
PRO_12125	PRO_12125
PRO_12125	PRO_11135
PRO_12127	PRO_12127
PRO_12128	PRO_12128
PRO_12129	PRO_12129
PRO_12131	PRO_12131
PRO_12132	PRO_12132
PRO_12132	PRO_10813
PRO_12132	PRO_9282
PRO_12133	PRO_12133
PRO_12133	PRO_3681
PRO_12137	PRO_12137
PRO_12138	PRO_12138
PRO_12138	PRO_21158
PRO_12141	PRO_12141
PRO_12143	PRO_12143
PRO_12144	PRO_12144
PRO_12145	PRO_12145
PRO_12146	PRO_12146
PRO_12147	PRO_12147
PRO_12148	PRO_12148
PRO_12149	PRO_12149
PRO_12153	PRO_12153
PRO_12153	PRO_21281
PRO_12154	PRO_12154
PRO_12157	PRO_12157
PRO_12158	PRO_12158
PRO_12158	PRO_329
PRO_12159	PRO_12159
PRO_12160	PRO_12160
PRO_12161	PRO_12161
PRO_12163	PRO_12163
PRO_12166	PRO_12166
PRO_12166	PRO_23543
PRO_12168	PRO_12168
PRO_12168	PRO_8268
PRO_12168	PRO_266
PRO_12170	PRO_12170
PRO_12170	PRO_150
PRO_12170	PRO_341
PRO_12170	PRO_448
PRO_12170	PRO_629
PRO_12170	PRO_2003
PRO_12170	PRO_2096
PRO_12170	PRO_4026
PRO_12170	PRO_4216
PRO_12170	PRO_4487
PRO_12170	PRO_4981
PRO_12170	PRO_8590
PRO_12170	PRO_11455
PRO_12170	PRO_11989
PRO_12170	PRO_12536
PRO_12170	PRO_12969
PRO_12170	PRO_13817
PRO_12170	PRO_14775
PRO_12170	PRO_15256
PRO_12170	PRO_15867
PRO_12170	PRO_19387
PRO_12170	PRO_20507
PRO_12170	PRO_21418
PRO_12170	PRO_22021
PRO_12172	PRO_12172
PRO_12172	PRO_12509
PRO_12174	PRO_12174
PRO_12175	PRO_12175
PRO_12176	PRO_12176
PRO_12178	PRO_12178
PRO_12179	PRO_12179
PRO_12179	PRO_10582
PRO_12179	PRO_6084
PRO_12180	PRO_12180
PRO_12182	PRO_12182
PRO_12183	PRO_12183
PRO_12183	PRO_17972
PRO_12189	PRO_12189
PRO_12189	PRO_4698
PRO_12190	PRO_12190
PRO_12192	PRO_12192
PRO_12192	PRO_14785
PRO_12192	PRO_22588
PRO_12193	PRO_12193
PRO_12196	PRO_12196
PRO_12197	PRO_12197
PRO_12197	PRO_12546
PRO_12198	PRO_12198
PRO_12199	PRO_12199
PRO_12199	PRO_10879
PRO_15901	PRO_15901
PRO_15904	PRO_15904
PRO_15905	PRO_15905
PRO_15910	PRO_15910
PRO_15911	PRO_15911
PRO_15912	PRO_15912
PRO_15915	PRO_15915
PRO_15915	PRO_12935
PRO_15915	PRO_13946
PRO_15915	PRO_15778
PRO_15916	PRO_15916
PRO_15918	PRO_15918
PRO_15922	PRO_15922
PRO_15923	PRO_15923
PRO_15924	PRO_15924
PRO_15924	PRO_20702
PRO_15925	PRO_15925
PRO_15926	PRO_15926
PRO_15927	PRO_15927
PRO_15928	PRO_15928
PRO_15930	PRO_15930
PRO_15931	PRO_15931
PRO_15933	PRO_15933
PRO_15933	PRO_20848
PRO_15934	PRO_15934
PRO_15936	PRO_15936
PRO_15937	PRO_15937
PRO_15937	PRO_2206
PRO_15937	PRO_5245
PRO_15939	PRO_15939
PRO_15940	PRO_15940
PRO_15940	PRO_4044
